"AFGHANISTAN","AFN",971
"ALBANIA","ALL",8
"ALGERIA","DZD",12
"AMERICAN SAMOA","USD",840
"ANDORRA","EUR",978
"ANGOLA","AOA",973
"ANGUILLA","XCD",951
"ANTARCTICA",,
"ANTIGUA AND BARBUDA","XCD",951
"ARGENTINA","ARS",32
"ARMENIA","AMD",51
"ARUBA","AWG",533
"AUSTRALIA","AUD",36
"AUSTRIA","EUR",978
"AZERBAIJAN","AZN",944
"BAHAMAS (THE)","BSD",44
"BAHRAIN","BHD",48
"BANGLADESH","BDT",50
"BARBADOS","BBD",52
"BELARUS","BYR",974
"BELGIUM","EUR",978
"BELIZE","BZD",84
"BENIN","XOF",952
"BERMUDA","BMD",60
"BHUTAN","BTN",64
"BHUTAN","INR",356
"BOLIVIA (PLURINATIONAL STATE OF)","BOB",68
"BOLIVIA (PLURINATIONAL STATE OF)","BOV",984
"BONAIRE, SINT EUSTATIUS AND SABA","USD",840
"BOSNIA AND HERZEGOVINA","BAM",977
"BOTSWANA","BWP",72
"BOUVET ISLAND","NOK",578
"BRAZIL","BRL",986
"BRITISH INDIAN OCEAN TERRITORY (THE)","USD",840
"BRUNEI DARUSSALAM","BND",96
"BULGARIA","BGN",975
"BURKINA FASO","XOF",952
"BURUNDI","BIF",108
"CABO VERDE","CVE",132
"CAMBODIA","KHR",116
"CAMEROON","XAF",950
"CANADA","CAD",124
"CAYMAN ISLANDS (THE)","KYD",136
"CENTRAL AFRICAN REPUBLIC (THE)","XAF",950
"CHAD","XAF",950
"CHILE","CLF",990
"CHILE","CLP",152
"CHINA","CNY",156
"CHRISTMAS ISLAND","AUD",36
"COCOS (KEELING) ISLANDS (THE)","AUD",36
"COLOMBIA","COP",170
"COLOMBIA","COU",970
"COMOROS (THE)","KMF",174
"CONGO (THE DEMOCRATIC REPUBLIC OF THE)","CDF",976
"CONGO (THE)","XAF",950
"COOK ISLANDS (THE)","NZD",554
"COSTA RICA","CRC",188
"CROATIA","HRK",191
"CUBA","CUC",931
"CUBA","CUP",192
"CURAÇAO","ANG",532
"CYPRUS","EUR",978
"CZECH REPUBLIC (THE)","CZK",203
"CÔTE D'IVOIRE","XOF",952
"DENMARK","DKK",208
"DJIBOUTI","DJF",262
"DOMINICA","XCD",951
"DOMINICAN REPUBLIC (THE)","DOP",214
"ECUADOR","USD",840
"EGYPT","EGP",818
